customer_id,age,gender,city,district,registration_date,registration_year,registration_month,age_group
1,65,Female,Karachi,Keamari,2025-11-11,2025,11,56+
2,25,Female,Karachi,Keamari,2024-02-29,2024,2,18-25
3,19,Female,Karachi,Karachi West,2024-03-29,2024,3,18-25
4,48,Male,Karachi,Malir,2025-10-17,2025,10,46-55
5,56,Male,Karachi,Karachi East,2024-04-11,2024,4,56+
6,35,Female,Karachi,Karachi South,2024-06-07,2024,6,26-35
7,43,Female,Karachi,Karachi East,2024-07-17,2024,7,36-45
8,19,Female,Karachi,Karachi South,2024-08-15,2024,8,18-25
9,37,Female,Karachi,Karachi East,2025-06-27,2025,6,36-45
10,63,Female,Karachi,Karachi East,2024-07-29,2024,7,56+
11,45,Male,Karachi,Karachi West,2024-09-18,2024,9,36-45
12,59,Female,Karachi,Karachi East,2024-06-13,2024,6,56+
13,49,Female,Karachi,Karachi East,2024-02-02,2024,2,46-55
14,19,Female,Karachi,Keamari,2025-08-15,2025,8,18-25
15,18,Male,Karachi,Keamari,2024-04-18,2024,4,18-25
16,42,Female,Karachi,Karachi Central,2025-01-13,2025,1,36-45
17,64,Male,Karachi,Karachi South,2025-09-22,2025,9,56+
18,58,Male,Karachi,Korangi,2024-03-13,2024,3,56+
19,59,Female,Karachi,Malir,2025-01-09,2025,1,56+
20,65,Female,Karachi,Karachi South,2024-03-13,2024,3,56+
21,22,Female,Karachi,Karachi East,2024-01-11,2024,1,18-25
22,58,Female,Karachi,Karachi South,2025-07-18,2025,7,56+
23,61,Female,Karachi,Korangi,2025-10-03,2025,10,56+
24,37,Female,Karachi,Keamari,2025-07-17,2025,7,36-45
25,46,Male,Karachi,Karachi South,2025-10-30,2025,10,46-55
26,52,Female,Karachi,Keamari,2024-10-17,2024,10,46-55
27,50,Male,Karachi,Karachi Central,2024-01-07,2024,1,46-55
28,28,Male,Karachi,Korangi,2025-02-21,2025,2,26-35
29,49,Female,Karachi,Karachi West,2025-11-23,2025,11,46-55
30,26,Male,Karachi,Karachi East,2025-02-22,2025,2,26-35
31,48,Male,Karachi,Karachi West,2024-03-10,2024,3,46-55
32,61,Male,Karachi,Keamari,2025-04-05,2025,4,56+
33,62,Female,Karachi,Karachi West,2025-03-02,2025,3,56+
34,60,Male,Karachi,Keamari,2024-09-14,2024,9,56+
35,65,Female,Karachi,Korangi,2025-05-13,2025,5,56+
36,42,Female,Karachi,Karachi South,2024-02-02,2024,2,36-45
37,37,Female,Karachi,Korangi,2024-08-19,2024,8,36-45
38,55,Female,Karachi,Korangi,2024-06-25,2024,6,46-55
39,58,Female,Karachi,Malir,2025-07-06,2025,7,56+
40,19,Male,Karachi,Keamari,2024-12-27,2024,12,18-25
41,65,Male,Karachi,Karachi East,2024-05-15,2024,5,56+
42,23,Male,Karachi,Karachi South,2024-08-31,2024,8,18-25
43,57,Female,Karachi,Karachi East,2024-05-13,2024,5,56+
44,44,Male,Karachi,Karachi South,2025-11-28,2025,11,36-45
45,40,Male,Karachi,Malir,2024-08-12,2024,8,36-45
46,58,Male,Karachi,Karachi South,2025-02-12,2025,2,56+
47,43,Male,Karachi,Karachi East,2024-12-02,2024,12,36-45
48,46,Female,Karachi,Karachi West,2024-09-14,2024,9,46-55
49,48,Female,Karachi,Malir,2024-05-16,2024,5,46-55
50,54,Female,Karachi,Karachi East,2024-01-29,2024,1,46-55
51,63,Female,Karachi,Karachi Central,2024-11-11,2024,11,56+
52,27,Female,Karachi,Karachi Central,2025-06-29,2025,6,26-35
53,58,Male,Karachi,Karachi West,2025-08-12,2025,8,56+
54,55,Male,Karachi,Korangi,2025-05-11,2025,5,46-55
55,42,Female,Karachi,Malir,2025-12-19,2025,12,36-45
56,59,Female,Karachi,Karachi South,2025-08-29,2025,8,56+
57,26,Female,Karachi,Karachi Central,2024-04-15,2024,4,26-35
58,58,Male,Karachi,Karachi South,2024-09-03,2024,9,56+
59,42,Female,Karachi,Karachi South,2025-06-18,2025,6,36-45
60,18,Female,Karachi,Karachi East,2024-01-20,2024,1,18-25
61,38,Female,Karachi,Keamari,2025-06-13,2025,6,36-45
62,56,Male,Karachi,Karachi West,2025-08-22,2025,8,56+
63,51,Female,Karachi,Malir,2025-02-23,2025,2,46-55
64,45,Female,Karachi,Keamari,2024-07-18,2024,7,36-45
65,46,Male,Karachi,Keamari,2024-04-03,2024,4,46-55
66,57,Female,Karachi,Karachi Central,2025-10-26,2025,10,56+
67,27,Male,Karachi,Keamari,2024-09-08,2024,9,26-35
68,27,Female,Karachi,Keamari,2025-12-05,2025,12,26-35
69,27,Male,Karachi,Karachi Central,2024-05-07,2024,5,26-35
70,30,Female,Karachi,Keamari,2025-06-29,2025,6,26-35
71,62,Male,Karachi,Korangi,2025-01-16,2025,1,56+
72,41,Male,Karachi,Malir,2024-10-07,2024,10,36-45
73,51,Male,Karachi,Karachi East,2024-12-31,2024,12,46-55
74,50,Female,Karachi,Karachi West,2025-08-17,2025,8,46-55
75,57,Male,Karachi,Karachi South,2024-09-23,2024,9,56+
76,36,Female,Karachi,Keamari,2024-05-31,2024,5,36-45
77,22,Male,Karachi,Karachi East,2025-02-09,2025,2,18-25
78,64,Male,Karachi,Karachi South,2025-10-20,2025,10,56+
79,22,Male,Karachi,Malir,2025-11-30,2025,11,18-25
80,49,Female,Karachi,Karachi South,2024-06-04,2024,6,46-55
81,22,Male,Karachi,Karachi South,2024-06-07,2024,6,18-25
82,26,Female,Karachi,Malir,2024-06-15,2024,6,26-35
83,33,Female,Karachi,Keamari,2024-04-24,2024,4,26-35
84,33,Female,Karachi,Malir,2025-08-10,2025,8,26-35
85,40,Female,Karachi,Korangi,2025-08-10,2025,8,36-45
86,36,Male,Karachi,Karachi Central,2024-06-17,2024,6,36-45
87,64,Female,Karachi,Keamari,2024-04-08,2024,4,56+
88,44,Male,Karachi,Karachi South,2025-09-26,2025,9,36-45
89,24,Female,Karachi,Karachi East,2025-09-01,2025,9,18-25
90,35,Female,Karachi,Karachi West,2024-08-04,2024,8,26-35
91,45,Female,Karachi,Malir,2024-11-10,2024,11,36-45
92,41,Female,Karachi,Karachi Central,2024-06-15,2024,6,36-45
93,20,Female,Karachi,Karachi Central,2025-04-30,2025,4,18-25
94,46,Female,Karachi,Malir,2025-02-22,2025,2,46-55
95,54,Male,Karachi,Karachi South,2025-12-04,2025,12,46-55
96,53,Female,Karachi,Korangi,2025-01-14,2025,1,46-55
97,36,Male,Karachi,Keamari,2024-12-16,2024,12,36-45
98,44,Female,Karachi,Karachi East,2025-10-08,2025,10,36-45
99,56,Male,Karachi,Karachi Central,2025-08-01,2025,8,56+
100,48,Male,Karachi,Karachi South,2025-10-05,2025,10,46-55
101,63,Female,Karachi,Karachi East,2025-04-26,2025,4,56+
102,47,Male,Karachi,Karachi South,2026-01-02,2026,1,46-55
103,28,Male,Karachi,Malir,2025-01-04,2025,1,26-35
104,41,Female,Karachi,Karachi East,2024-06-15,2024,6,36-45
105,21,Male,Karachi,Karachi Central,2026-01-05,2026,1,18-25
106,37,Female,Karachi,Karachi West,2026-01-03,2026,1,36-45
107,32,Female,Karachi,Karachi West,2024-10-19,2024,10,26-35
108,41,Male,Karachi,Korangi,2025-05-10,2025,5,36-45
109,61,Male,Karachi,Karachi South,2025-10-09,2025,10,56+
110,43,Female,Karachi,Keamari,2025-02-28,2025,2,36-45
111,52,Male,Karachi,Malir,2024-12-07,2024,12,46-55
112,40,Female,Karachi,Korangi,2024-12-19,2024,12,36-45
113,43,Female,Karachi,Keamari,2025-06-10,2025,6,36-45
114,46,Male,Karachi,Karachi West,2024-08-24,2024,8,46-55
115,29,Female,Karachi,Karachi South,2024-03-05,2024,3,26-35
116,40,Female,Karachi,Karachi West,2024-08-27,2024,8,36-45
117,54,Male,Karachi,Karachi Central,2024-04-06,2024,4,46-55
118,46,Female,Karachi,Korangi,2025-04-04,2025,4,46-55
119,29,Male,Karachi,Keamari,2025-08-23,2025,8,26-35
120,29,Female,Karachi,Karachi West,2025-01-18,2025,1,26-35
121,25,Female,Karachi,Karachi South,2025-06-12,2025,6,18-25
122,51,Male,Karachi,Korangi,2024-12-05,2024,12,46-55
123,33,Male,Karachi,Karachi West,2024-01-18,2024,1,26-35
124,36,Male,Karachi,Malir,2025-07-27,2025,7,36-45
125,47,Female,Karachi,Karachi South,2024-07-23,2024,7,46-55
126,26,Male,Karachi,Malir,2024-01-09,2024,1,26-35
127,65,Male,Karachi,Malir,2025-01-26,2025,1,56+
128,34,Male,Karachi,Keamari,2025-11-09,2025,11,26-35
129,25,Male,Karachi,Malir,2024-02-27,2024,2,18-25
130,19,Female,Karachi,Karachi West,2025-04-12,2025,4,18-25
131,59,Female,Karachi,Karachi East,2025-01-28,2025,1,56+
132,39,Female,Karachi,Korangi,2025-04-25,2025,4,36-45
133,47,Female,Karachi,Keamari,2024-11-18,2024,11,46-55
134,18,Female,Karachi,Karachi Central,2025-08-30,2025,8,18-25
135,34,Female,Karachi,Keamari,2025-05-17,2025,5,26-35
136,55,Female,Karachi,Keamari,2024-12-17,2024,12,46-55
137,39,Male,Karachi,Karachi Central,2024-02-04,2024,2,36-45
138,46,Male,Karachi,Karachi Central,2026-01-06,2026,1,46-55
139,46,Female,Karachi,Malir,2024-02-01,2024,2,46-55
140,30,Female,Karachi,Korangi,2025-01-07,2025,1,26-35
141,53,Male,Karachi,Malir,2024-07-10,2024,7,46-55
142,51,Male,Karachi,Karachi South,2024-04-01,2024,4,46-55
143,62,Male,Karachi,Korangi,2024-03-26,2024,3,56+
144,30,Female,Karachi,Karachi Central,2024-10-16,2024,10,26-35
145,54,Female,Karachi,Korangi,2024-07-11,2024,7,46-55
146,40,Male,Karachi,Korangi,2024-08-27,2024,8,36-45
147,46,Male,Karachi,Malir,2025-01-18,2025,1,46-55
148,20,Female,Karachi,Korangi,2024-05-31,2024,5,18-25
149,35,Female,Karachi,Karachi West,2024-09-20,2024,9,26-35
150,42,Male,Karachi,Malir,2024-01-15,2024,1,36-45
151,36,Male,Karachi,Keamari,2025-11-29,2025,11,36-45
152,40,Male,Karachi,Karachi West,2024-07-23,2024,7,36-45
153,65,Male,Karachi,Karachi East,2024-04-11,2024,4,56+
154,43,Female,Karachi,Keamari,2024-05-22,2024,5,36-45
155,31,Female,Karachi,Karachi South,2025-04-19,2025,4,26-35
156,49,Male,Karachi,Malir,2024-06-24,2024,6,46-55
157,22,Female,Karachi,Karachi West,2025-11-23,2025,11,18-25
158,35,Male,Karachi,Karachi South,2025-11-19,2025,11,26-35
