order_id,customer_id,order_date,salary_period,festival_sale,order_year,order_month,order_quarter,is_salary_period,is_festival_sale
1,786,2025-12-17,False,False,2025,12,4,Regular Week,Regular Sale
2,305,2025-09-10,False,False,2025,9,3,Regular Week,Regular Sale
3,4344,2025-02-20,False,True,2025,2,1,Regular Week,Festival Sale
4,4151,2025-12-11,True,False,2025,12,4,Salary Week,Regular Sale
5,4169,2025-01-12,True,False,2025,1,1,Salary Week,Regular Sale
6,1605,2025-07-21,True,False,2025,7,3,Salary Week,Regular Sale
7,2340,2025-12-04,True,True,2025,12,4,Salary Week,Festival Sale
8,1714,2025-05-03,True,True,2025,5,2,Salary Week,Festival Sale
9,1651,2025-09-22,False,True,2025,9,3,Regular Week,Festival Sale
10,1859,2025-08-11,False,False,2025,8,3,Regular Week,Regular Sale
11,510,2025-06-02,True,True,2025,6,2,Salary Week,Festival Sale
12,2683,2025-01-21,True,True,2025,1,1,Salary Week,Festival Sale
13,1568,2025-12-21,True,False,2025,12,4,Salary Week,Regular Sale
14,3755,2025-12-12,True,True,2025,12,4,Salary Week,Festival Sale
15,4636,2025-06-18,True,False,2025,6,2,Salary Week,Regular Sale
16,3737,2025-01-24,True,False,2025,1,1,Salary Week,Regular Sale
17,209,2025-03-31,False,True,2025,3,1,Regular Week,Festival Sale
18,3291,2025-02-13,False,True,2025,2,1,Regular Week,Festival Sale
19,522,2025-04-01,True,True,2025,4,2,Salary Week,Festival Sale
20,2124,2025-11-09,False,False,2025,11,4,Regular Week,Regular Sale
21,1712,2025-12-16,True,True,2025,12,4,Salary Week,Festival Sale
22,3075,2025-06-24,True,True,2025,6,2,Salary Week,Festival Sale
23,4159,2025-11-04,True,True,2025,11,4,Salary Week,Festival Sale
24,3339,2025-03-06,True,False,2025,3,1,Salary Week,Regular Sale
25,4039,2025-06-01,True,False,2025,6,2,Salary Week,Regular Sale
26,39,2025-04-11,True,True,2025,4,2,Salary Week,Festival Sale
27,549,2025-04-06,True,True,2025,4,2,Salary Week,Festival Sale
28,3669,2026-01-03,True,False,2026,1,1,Salary Week,Regular Sale
29,1427,2025-12-16,True,True,2025,12,4,Salary Week,Festival Sale
30,1604,2025-12-18,True,True,2025,12,4,Salary Week,Festival Sale
31,1430,2025-01-15,True,True,2025,1,1,Salary Week,Festival Sale
32,4920,2025-06-30,False,True,2025,6,2,Regular Week,Festival Sale
33,3391,2025-06-25,True,False,2025,6,2,Salary Week,Regular Sale
34,1935,2025-03-26,True,False,2025,3,1,Salary Week,Regular Sale
35,329,2025-09-13,False,True,2025,9,3,Regular Week,Festival Sale
36,147,2025-12-29,True,True,2025,12,4,Salary Week,Festival Sale
37,265,2025-06-27,True,False,2025,6,2,Salary Week,Regular Sale
38,1877,2025-12-30,True,True,2025,12,4,Salary Week,Festival Sale
39,3621,2025-10-14,False,False,2025,10,4,Regular Week,Regular Sale
40,42,2025-01-07,False,True,2025,1,1,Regular Week,Festival Sale
41,2764,2025-05-20,True,False,2025,5,2,Salary Week,Regular Sale
42,4087,2025-11-20,False,False,2025,11,4,Regular Week,Regular Sale
43,2319,2025-11-20,True,True,2025,11,4,Salary Week,Festival Sale
44,206,2025-08-08,True,False,2025,8,3,Salary Week,Regular Sale
45,666,2025-04-26,True,False,2025,4,2,Salary Week,Regular Sale
46,3705,2025-02-16,True,True,2025,2,1,Salary Week,Festival Sale
47,3764,2025-08-16,False,True,2025,8,3,Regular Week,Festival Sale
48,828,2025-06-28,False,True,2025,6,2,Regular Week,Festival Sale
49,2092,2025-05-26,False,True,2025,5,2,Regular Week,Festival Sale
50,474,2025-07-08,True,False,2025,7,3,Salary Week,Regular Sale
51,2095,2025-12-01,False,False,2025,12,4,Regular Week,Regular Sale
52,3779,2025-12-08,True,False,2025,12,4,Salary Week,Regular Sale
53,657,2025-08-05,False,True,2025,8,3,Regular Week,Festival Sale
54,4656,2025-07-20,False,True,2025,7,3,Regular Week,Festival Sale
55,1652,2025-01-22,False,True,2025,1,1,Regular Week,Festival Sale
56,69,2025-06-13,True,True,2025,6,2,Salary Week,Festival Sale
57,81,2025-03-09,False,True,2025,3,1,Regular Week,Festival Sale
58,1402,2025-09-22,False,True,2025,9,3,Regular Week,Festival Sale
59,3221,2025-05-27,True,False,2025,5,2,Salary Week,Regular Sale
60,3449,2025-05-28,True,True,2025,5,2,Salary Week,Festival Sale
61,688,2025-09-02,True,True,2025,9,3,Salary Week,Festival Sale
62,2633,2025-04-05,True,False,2025,4,2,Salary Week,Regular Sale
63,3465,2025-05-14,True,False,2025,5,2,Salary Week,Regular Sale
64,1486,2025-12-07,False,False,2025,12,4,Regular Week,Regular Sale
65,3084,2025-10-01,False,False,2025,10,4,Regular Week,Regular Sale
66,4257,2025-02-04,False,True,2025,2,1,Regular Week,Festival Sale
67,633,2025-01-16,True,False,2025,1,1,Salary Week,Regular Sale
68,2328,2025-03-09,True,True,2025,3,1,Salary Week,Festival Sale
69,2148,2025-08-10,True,True,2025,8,3,Salary Week,Festival Sale
70,4532,2025-04-09,True,False,2025,4,2,Salary Week,Regular Sale
71,4163,2025-11-18,True,False,2025,11,4,Salary Week,Regular Sale
72,1652,2025-02-02,False,False,2025,2,1,Regular Week,Regular Sale
73,2044,2025-03-30,False,True,2025,3,1,Regular Week,Festival Sale
