product_id,category,price
1,Footwear,163.76
2,Mens Apparel,575.59
3,Womens Apparel,257.3
4,Accessories,529.53
5,Accessories,451.11
6,Womens Apparel,429.71
7,Kids Wear,593.63
8,Footwear,345.11
9,Mens Apparel,636.87
10,Footwear,361.51
11,Mens Apparel,545.92
12,Kids Wear,187.52
13,Footwear,237.95
14,Womens Apparel,447.52
15,Footwear,362.32
16,Footwear,224.77
17,Mens Apparel,697.8
18,Footwear,131.18
19,Footwear,604.02
20,Mens Apparel,673.87
21,Womens Apparel,184.38
22,Womens Apparel,377.33
23,Footwear,81.55
24,Mens Apparel,362.95
25,Kids Wear,124.64
26,Mens Apparel,478.7
27,Footwear,388.81
28,Footwear,637.83
29,Accessories,426.48
30,Footwear,172.82
31,Mens Apparel,356.75
32,Accessories,625.49
33,Kids Wear,93.94
34,Accessories,401.43
35,Womens Apparel,197.75
36,Accessories,453.16
37,Footwear,615.48
38,Mens Apparel,378.62
39,Accessories,251.86
40,Womens Apparel,700.86
41,Kids Wear,277.64
42,Accessories,235.76
43,Kids Wear,512.98
44,Footwear,744.58
45,Kids Wear,507.14
46,Accessories,510.28
47,Kids Wear,107.36
48,Mens Apparel,281.46
49,Accessories,255.58
50,Womens Apparel,581.18
51,Womens Apparel,153.49
52,Womens Apparel,633.85
53,Womens Apparel,181.25
54,Womens Apparel,585.07
55,Accessories,456.18
56,Footwear,102.07
57,Mens Apparel,589.69
58,Kids Wear,442.36
59,Womens Apparel,277.98
60,Kids Wear,611.43
61,Kids Wear,540.28
62,Kids Wear,542.6
63,Footwear,149.61
64,Accessories,479.66
65,Footwear,626.54
66,Womens Apparel,678.42
67,Kids Wear,385.66
68,Kids Wear,103.13
69,Footwear,588.48
70,Footwear,354.95
71,Kids Wear,493.94
72,Kids Wear,374.36
73,Kids Wear,403.41
74,Womens Apparel,295.26
75,Accessories,616.48
76,Kids Wear,116.19
77,Kids Wear,208.62
78,Accessories,630.73
79,Mens Apparel,258.53
80,Accessories,184.19
81,Womens Apparel,334.21
82,Mens Apparel,463.39
83,Accessories,187.85
84,Kids Wear,323.32
85,Kids Wear,738.47
86,Womens Apparel,632.95
87,Womens Apparel,152.82
88,Accessories,148.72
89,Accessories,279.32
90,Kids Wear,702.3
91,Womens Apparel,382.35
92,Kids Wear,655.59
93,Accessories,621.07
94,Womens Apparel,479.66
95,Accessories,608.08
96,Kids Wear,649.68
97,Accessories,676.03
98,Footwear,350.07
99,Womens Apparel,453.88
100,Kids Wear,371.01
