order_detail_id,order_id,product_id,quantity,unit_price,line_total
1,8787,44,2,744.58,1489.17
2,3664,67,2,385.66,771.33
3,7221,40,5,700.86,3504.29
4,10494,18,4,131.18,524.71
5,10644,58,5,442.36,2211.79
6,9419,97,4,676.03,2704.13
7,1122,100,5,371.01,1855.04
8,402,27,2,388.81,777.62
9,5399,63,2,149.61,299.23
10,1819,2,4,575.59,2302.36
11,6009,86,1,632.95,632.95
12,7126,18,5,131.18,655.88
13,7593,66,1,678.42,678.42
14,7854,76,2,116.19,232.39
15,2660,2,1,575.59,575.59
16,9689,2,4,575.59,2302.36
17,4003,4,2,529.53,1059.06
18,5684,74,2,295.26,590.53
19,4408,46,3,510.28,1530.86
20,7733,27,2,388.81,777.62
21,5467,64,2,479.66,959.32
22,11249,73,5,403.41,2017.03
23,6119,88,2,148.72,297.44
24,9851,12,4,187.52,750.07
25,4270,41,5,277.64,1388.21
26,2902,14,3,447.52,1342.56
27,1683,30,3,172.82,518.45
28,6852,39,3,251.86,755.59
29,8307,50,5,581.18,2905.89
30,595,98,5,350.07,1750.33
31,3276,74,2,295.26,590.53
32,6683,90,4,702.3,2809.21
33,4784,24,5,362.95,1814.74
34,2504,43,3,512.98,1538.93
35,75,93,2,621.07,1242.15
36,9,85,2,738.47,1476.94
37,5691,17,1,697.8,697.8
38,1011,58,2,442.36,884.72
39,4114,41,1,277.64,277.64
40,1807,55,1,456.18,456.18
41,619,32,5,625.49,3127.44
42,2954,77,2,208.62,417.24
43,10403,50,2,581.18,1162.36
44,6884,96,3,649.68,1949.03
45,6424,92,1,655.59,655.59
46,8219,95,1,608.08,608.08
47,11283,15,4,362.32,1449.29
48,271,84,2,323.32,646.65
49,6089,70,3,354.95,1064.86
50,11571,54,5,585.07,2925.35
51,5122,5,2,451.11,902.22
52,10983,15,2,362.32,724.65
53,1990,72,5,374.36,1871.82
54,8269,85,5,738.47,3692.35
55,2073,47,1,107.36,107.36
56,962,58,3,442.36,1327.08
57,7737,66,3,678.42,2035.26
58,6704,58,4,442.36,1769.44
59,10613,62,5,542.6,2713.01
60,5924,37,2,615.48,1230.95
61,6974,79,3,258.53,775.58
62,11670,77,5,208.62,1043.09
63,2091,62,3,542.6,1627.81
64,9624,33,1,93.94,93.94
65,9638,12,2,187.52,375.04
66,2830,2,3,575.59,1726.77
67,3791,88,4,148.72,594.88
68,9724,41,3,277.64,832.92
69,3155,47,5,107.36,536.8
70,10003,43,3,512.98,1538.93
71,2442,3,1,257.3,257.3
72,280,64,3,479.66,1438.99
73,735,9,2,636.87,1273.73
74,1747,59,4,277.98,1111.93
75,10958,1,5,163.76,818.78
76,633,14,4,447.52,1790.08
77,11942,57,2,589.69,1179.38
78,9082,95,3,608.08,1824.23
79,2559,54,3,585.07,1755.21
80,160,65,3,626.54,1879.62
81,1449,100,5,371.01,1855.04
82,9003,96,3,649.68,1949.03
83,4249,24,5,362.95,1814.74
84,3872,65,5,626.54,3132.7
85,2616,85,1,738.47,738.47
86,880,89,3,279.32,837.95
87,7708,36,5,453.16,2265.79
88,2114,76,3,116.19,348.58
89,1704,99,5,453.88,2269.39
90,6278,44,5,744.58,3722.92
91,3864,90,3,702.3,2106.9
92,9441,33,1,93.94,93.94
93,3807,54,3,585.07,1755.21
94,11187,33,3,93.94,281.81
95,7243,27,5,388.81,1944.04
96,5018,43,2,512.98,1025.96
97,9575,95,1,608.08,608.08
98,10831,29,2,426.48,852.97
99,308,81,1,334.21,334.21
100,3873,62,2,542.6,1085.2
101,11932,13,2,237.95,475.9
102,3277,75,4,616.48,2465.94
103,9128,69,2,588.48,1176.95
104,7332,20,5,673.87,3369.33
105,2519,36,5,453.16,2265.79
106,8482,78,4,630.73,2522.93
107,10703,44,5,744.58,3722.92
108,3661,77,5,208.62,1043.09
109,486,81,4,334.21,1336.82
110,6011,11,1,545.92,545.92
111,10406,29,5,426.48,2132.42
112,5572,16,3,224.77,674.32
113,2501,86,4,632.95,2531.82
114,10303,21,4,184.38,737.5
115,9866,1,5,163.76,818.78
116,4703,19,3,604.02,1812.06
117,2833,50,5,581.18,2905.89
118,6911,91,5,382.35,1911.76
119,6591,28,3,637.83,1913.49
120,6103,2,4,575.59,2302.36
121,1932,85,3,738.47,2215.41
122,5165,42,5,235.76,1178.8
123,2253,21,5,184.38,921.88
124,7140,71,4,493.94,1975.76
125,9126,64,2,479.66,959.32
126,7798,84,2,323.32,646.65
127,2416,76,3,116.19,348.58
128,5316,48,5,281.46,1407.3
129,10057,72,4,374.36,1497.46
130,5779,11,2,545.92,1091.85
131,3129,52,2,633.85,1267.7
132,1413,65,5,626.54,3132.7
133,2283,74,5,295.26,1476.32
134,6547,22,2,377.33,754.67
135,7530,93,5,621.07,3105.38
136,7754,79,4,258.53,1034.11
137,11213,23,5,81.55,407.77
138,7131,73,2,403.41,806.81
139,2785,88,5,148.72,743.6
140,9618,4,5,529.53,2647.64
141,8544,91,2,382.35,764.71
142,9193,41,3,277.64,832.92
143,4058,6,2,429.71,859.42
144,9485,77,1,208.62,208.62
145,8828,17,5,697.8,3489.0
146,8897,99,2,453.88,907.76
147,7996,61,2,540.28,1080.55
148,10993,92,5,655.59,3277.94
149,3130,39,2,251.86,503.72
150,6658,48,3,281.46,844.38
151,6060,70,1,354.95,354.95
152,6963,51,4,153.49,613.96
153,9622,54,5,585.07,2925.35
154,5670,63,5,149.61,748.07
