Order_ID,Order_Date,Year,District,Category,Product_Type,Experiment_Group,Sale_Type,Quantity,Unit_Price,Product_Cost,Delivery_Cost,Revenue,Total_Cost,Gross_Profit,Order_Status,Refund_Amount,Net_Profit,Profit_Flag,Month,Month_Name,Quarter,Year_Month,Profit_Margin_Percent
1,2025-01-01 00:00:00.000000000,2025,Malir,Womens Apparel,Existing Product,A,Regular Days,2,224.34,353.69,104.30060314340444,448.68,369.99,78.69,Accepted,0.0,78.69,Profit,1,January,1,2025-01,17.54
2,2025-01-01 01:27:31.491749541,2025,Korangi,Womens Apparel,Existing Product,A,Regular Days,1,337.76,296.98,126.32911042213716,337.76,316.72,21.04,Accepted,0.0,21.04,Profit,1,January,1,2025-01,6.23
3,2025-01-01 02:55:02.983499083,2025,Karachi East,Accessories,Existing Product,A,Festival Sale,4,211.22,393.06,119.29311318649624,844.87,411.7,433.17,Accepted,0.0,433.17,Profit,1,January,1,2025-01,51.27
4,2025-01-01 04:22:34.475248624,2025,Korangi,Womens Apparel,Existing Product,A,Festival Sale,2,412.28,342.29,107.7644189855524,824.56,359.13,465.43,Accepted,0.0,465.43,Profit,1,January,1,2025-01,56.45
5,2025-01-01 05:50:05.966998166,2025,Korangi,Mens Apparel,New Product,B,Regular Days,3,347.76,206.69,108.81598778601511,1043.27,223.69,819.59,Accepted,0.0,819.59,Profit,1,January,1,2025-01,78.56
6,2025-01-01 07:17:37.458747708,2025,Korangi,Accessories,New Product,B,Regular Days,4,302.61,301.98,104.740182876317,1210.43,318.35,892.09,Accepted,0.0,892.09,Profit,1,January,1,2025-01,73.7
7,2025-01-01 08:45:08.950497249,2025,Karachi West,Accessories,Existing Product,A,Festival Sale,1,155.76,216.84,116.85243082285268,155.76,235.1,-79.34,Accepted,0.0,-79.34,Loss,1,January,1,2025-01,-50.94
8,2025-01-01 10:12:40.442246791,2025,Karachi East,Mens Apparel,Existing Product,A,Festival Sale,3,310.11,373.53,105.49484044271787,930.32,390.02,540.31,Refunded,930.32,-390.02,Loss,1,January,1,2025-01,-41.92
9,2025-01-01 11:40:11.933996333,2025,Karachi South,Footwear,Existing Product,B,Festival Sale,4,302.3,217.15,139.48782390362098,1209.18,238.94,970.24,Accepted,0.0,970.24,Profit,1,January,1,2025-01,80.24
10,2025-01-01 13:07:43.425745874,2025,Malir,Mens Apparel,New Product,A,Festival Sale,1,461.65,235.74,101.86008838598109,461.65,251.66,209.99,Accepted,0.0,209.99,Profit,1,January,1,2025-01,45.49
11,2025-01-01 14:35:14.917495416,2025,Karachi South,Womens Apparel,Existing Product,A,Regular Days,3,223.09,349.16,107.35926962643576,669.27,365.94,303.33,Accepted,0.0,303.33,Profit,1,January,1,2025-01,45.32
12,2025-01-01 16:02:46.409244958,2025,Korangi,Footwear,New Product,B,Festival Sale,4,216.68,332.6,114.49846883263264,866.74,350.49,516.25,Accepted,0.0,516.25,Profit,1,January,1,2025-01,59.56
13,2025-01-01 17:30:17.900994499,2025,Keamari,Accessories,New Product,A,Regular Days,4,370.88,324.79,124.16994439824776,1483.52,344.19,1139.32,Accepted,0.0,1139.32,Profit,1,January,1,2025-01,76.8
14,2025-01-01 18:57:49.392744041,2025,Karachi East,Womens Apparel,Existing Product,B,Regular Days,2,227.31,321.36,131.9451987727169,454.62,341.97,112.65,Accepted,0.0,112.65,Profit,1,January,1,2025-01,24.78
15,2025-01-01 20:25:20.884493582,2025,Karachi Central,Mens Apparel,Existing Product,B,Regular Days,2,435.09,270.89,119.0843449459513,870.18,289.5,580.68,Refunded,870.18,-289.5,Loss,1,January,1,2025-01,-33.27
16,2025-01-01 21:52:52.376243124,2025,Karachi Central,Footwear,Existing Product,B,Regular Days,3,189.5,296.2,105.21841378086172,568.5,312.64,255.86,Refunded,568.5,-312.64,Loss,1,January,1,2025-01,-54.99
17,2025-01-01 23:20:23.867992666,2025,Malir,Accessories,New Product,B,Festival Sale,1,343.85,202.16,113.1147008057584,343.85,219.83,124.03,Accepted,0.0,124.03,Profit,1,January,1,2025-01,36.07
18,2025-01-02 00:47:55.359742207,2025,Karachi Central,Mens Apparel,New Product,A,Regular Days,2,254.8,222.31,117.35479438427458,509.61,240.64,268.96,Accepted,0.0,268.96,Profit,1,January,1,2025-01,52.78
19,2025-01-02 02:15:26.851491749,2025,Keamari,Womens Apparel,Existing Product,A,Festival Sale,4,141.38,161.54,120.79657825055055,565.54,180.41,385.13,Refunded,565.54,-180.41,Loss,1,January,1,2025-01,-31.9
20,2025-01-02 03:42:58.343241291,2025,Karachi South,Accessories,New Product,B,Regular Days,2,198.41,222.46,103.7137119091371,396.81,238.67,158.14,Accepted,0.0,158.14,Profit,1,January,1,2025-01,39.85
21,2025-01-02 05:10:29.834990832,2025,Korangi,Womens Apparel,New Product,B,Regular Days,3,133.73,315.89,137.05257704570113,401.19,337.3,63.89,Accepted,0.0,63.89,Profit,1,January,1,2025-01,15.93
22,2025-01-02 06:38:01.326740374,2025,Keamari,Accessories,Existing Product,A,Regular Days,2,154.51,174.97,115.78340032963035,309.01,193.06,115.95,Accepted,0.0,115.95,Profit,1,January,1,2025-01,37.52
